Наименование;Разъем;"Цена за шт.,
руб.";НДС, руб.;"Стоимость, руб. (с
НДС)";Гарантия
EDISON SOLO 7-22 кВт;Type 2;83 333,33;16 666,67;100 000,00;5 лет
EDISON DUO 44 (2х22) кВт;Type 2 / Type 2;137 500,00;27 500,00;165 000,00;5 лет
EDISON SLIM 7-22 кВт;Type 2;100 000,00;20 000,00;120 000,00;5 лет
EDISON SLIM 7-22 кВт;GB/T (AC);100 000,00;20 000,00;120 000,00;5 лет
Кабель Type 2 - Type 2 5м;Type 2 - Type 2;16 666,67;3 333,33;20 000,00;ask
Кабель Type 2 - Type 2 7м;Type 2 - Type 2;23 750,00;4 750,00;28 500,00;ask
Кабель Type 2 - Type 2 10м;Type 2 - Type 2;27 250,00;5 450,00;32 700,00;ask
Кабель Type 2 - GB/T 5м;Type 2 - GB/T;16 666,67;3 333,33;20 000,00;ask
Кабель Type 2 - GB/T 7м;Type 2 - GB/T;23 750,00;4 750,00;28 500,00;ask
Кабель Type 2 - GB/T 10м;Type 2 - GB/T;27 250,00;5 450,00;32 700,00;ask
Крепление на стену для зарядного кабеля;;7 500,00;1 500,00;9 000,00;ask
Опорная стойка для станций EDISON SOLO;;33 333,33;33 333,33;33 333,33;ask
Опорная стойка для станции EDISON DUO;;50 000,00;10 000,00;60 000,00;ask
EDISON DC 150 кВт;GB/T;2 625 000,00;525 000,00;3 150 000,00;2 года
EDISON DC 150 кВт;CCS;2 625 000,00;525 000,00;3 150 000,00;2 года
EDISON DC 60 кВт;GB/T;1 750 000,00;350 000,00;2 100 000,00;2 года
EDISON DC 60 кВт;CCS;1 750 000,00;350 000,00;2 100 000,00;2 года
EDISON DC 90 кВт;GB/T;2 125 000,00;425 000,00;2 550 000,00;2 года
EDISON DC 90 кВт;CCS;2 125 000,00;425 000,00;2 550 000,00;2 года
EDISON DC 120 кВт;GB/T;2 375 000,00;475 000,00;2 850 000,00;2 года
EDISON DC 120 кВт;CCS;2 375 000,00;475 000,00;2 850 000,00;2 года
EDISON DC 30 кВт;GB/T (DC);541 666,67;108 333,33;650 000,00;2 года
EDISON DC 30 кВт;CCS;541 666,67;108 333,33;650 000,00;2 года
EDISON DC 40кВт;GB/T (DC);650 000,00;130 000,00;780 000,00;2 года
EDISON DC 40кВт;CCS;650 000,00;130 000,00;780 000,00;2 года
EDISON DC 60 кВт;GB/T (DC);1 500 000,00;300 000,00;1 800 000,00;2 года
EDISON DC 60 кВт;CCS;1 500 000,00;300 000,00;1 800 000,00;2 года
